"id","__typename","BadEvent","BibleStudy","BibleTime","Classes","createdAt","Description","Game","GoodEvent","Hangout","Happy","Healthy","Homewok","Homework","Indo","JessCall","Lift","Meals","Nap","Parents","Practice","Prayed","PT","Satisfied","Sleep","Stressed","StressedOut","updatedAt","VideoGames","WallBall"
"63","Days","false","false","false","false","2024-03-19T15:46:47.717Z","""Lift, breakfast, nap, indo, lunch, ta, 2nd lunch, captains meeting, practice, dinner, hw, parents call, Jess call, anime with minch""","false","false","true","6","3","","true","true","true","true","4","true","true","true","true","false","true","6","","4","2024-03-19T15:46:47.717Z","false","false"
"64","Days","false","true","true","false","2024-03-20T04:41:17.719Z","""Banana, yoga, lunch, helped Ethan to get his project started, practice, dinner, hw, Bible study, hw, talked with Brady drob Avery and minch, called jess, finished dis track on shane for Jacob ""","false","false","true","6","3","","true","false","true","false","3","false","false","true","true","false","true","7","","3","2024-03-20T04:41:17.719Z","false","true"
"36","Days","false","","","false","2024-02-18T05:41:25.228Z","""First game day, played well, saw parents, went to gap with Jess then minch mads and Jess burg came later ""","true","true","true","5","5","","false","false","true","false","2","false","true","false","","false","true","9","false","","2024-02-18T05:41:25.228Z","false","false"
"49","Days","false","","","false","2024-03-03T21:27:31.710Z","""Hungout with Jess in the morning and afternoon, breakfast and lunch with her, went to walmart for chubbs gifts, drove to philly, went to dinner with tim justin liam and connor, then we went out to bars ""","false","false","true","5","5","","false","false","true","false","3","false","false","false","","false","true","85","false","","2024-03-03T21:27:31.710Z","false","false"
"33","Days","false","","","true","2024-02-14T04:35:21.363Z","""Snow day!no yoga and online classes. Had to shovel field but made snowmen. Then did lift with Arturo, played video games, did Bible study, called Jess, watched anime with minch.""","false","true","true","5","4","","true","false","true","true","3","false","false","false","","false","true","92","true","","2024-02-14T04:35:21.363Z","true","false"
"22","Days","false","","","true","2024-02-02T04:24:29.697Z","""Lift, breakfast, nap, classes, practice, called Jess and did hw all night""","false","false","true","4","3","","true","false","true","true","4","true","false","true","","false","true","73","false","","2024-02-02T04:24:29.697Z","false","true"
"18","Days","false","","","true","2024-01-26T04:11:50.265Z","""Lift, yoga, worked on presentation and gave it. Then a pretty good practice. Video games then a long call with Jess. ""","false","false","false","5","3","","true","false","true","true","3","false","false","true","","false","true","7","true","","2024-01-26T04:11:50.265Z","true","true"
""" 55""","Days","false","false","true","false","2024-03-11T05:33:27.846Z","""Played video games all day, jackbox games with an ethan lily erin jacob and Shane, then called jess""","false","false","true","5","5","","false","false","true","false","3","false","false","false","true","false","true","7","","2","2024-03-11T05:33:27.846Z","true","false"
"50","Days","false","","","false","2024-03-03T21:34:02.743Z","""Wokeup at chubbs, breakfast, watched James game, hungout with people afterwards, called jess on way home, then worked on paper, ate dinner, worked on paper some more""","false","false","true","5","5","","true","false","true","false","2","false","true","false","","false","true","6","false","","2024-03-03T21:34:02.743Z","false","false"
"16","Days","false","","","true","2024-01-24T04:36:35.979Z","""Long day of classes, yoga is my saving grace. Practice went super well until Avery deadlegged me. I can barely walk""","false","false","false","5","2","","true","false","true","false","3","false","false","true","","false","true","9","true","","2024-01-24T04:36:35.979Z","false","false"
"40","Days","true","","","false","2024-02-22T05:49:02.053Z","""Ran indo, lunch, ta grading, hacky sack, chapel, game, dinner with kills and Mav, video games ""","true","false","true","2","3","","false","true","true","false","2","false","true","false","","false","false","85","true","","2024-02-22T05:49:02.053Z","true","true"
"2","Days","false","","","true","2024-01-12T21:41:33.207Z","""Started classes today, concerned this project wont work. Had a club orientation meeting where we worked on a legacy binder. Free time started at 8 pm. Played some games and in bed by 10 ""","false","false","false","4","4","false","false","false","false","true","4","false","false","false","","false","true","85","true","","2024-01-15T04:39:52.306Z","true","false"
"13","Days","false","","","false","2024-01-21T02:57:24.227Z","""Practice stunk, hung out with Jess all day so that was good.""","false","false","false","4","3","","false","false","true","true","2","true","false","true","","false","false","9","false","","2024-01-21T02:57:24.227Z","false","false"
